,Date,Stocks
0,2019-08-05,FLC|FCN|DXG|JVC|CEO|VPB|DPM|SHS|HHS|BSR|PVD|PVS|VND|TNG|SSI|CTG|SJF|TTF|STB|TDH|ASM|OIL|IDI|HCM|HAR|HUT|HAG
0,2019-08-06,FLC|FCN|DXG|JVC|CEO|DPM|SHS|HHS|BSR|PVD|PVS|VND|TNG|SSI|TCB|DGW|CTG|SJF|TTF|ACB|STB|TDH|ASM|OIL|IDI|HCM|HAR|HUT|HAG
0,2019-08-07,BVH|FLC|FCN|DXG|JVC|CEO|DPM|AAA|SHS|HHS|BSR|PVD|PVS|VND|TNG|AMD|SSI|TCB|DGW|CTG|SJF|TTF|ACB|HSG|STB|TDH|ASM|OIL|IDI|HCM|HAR|HUT|HAG
0,2019-08-08,BVH|FCN|DXG|JVC|SCR|NVB|DPM|AAA|SHS|HHS|BSR|PVD|PVS|VND|TNG|HDB|AMD|SSI|TCB|DGW|CTG|SJF|DIG|TTF|ACB|HSG|VNM|STB|TDH|ASM|IDI|HCM|HAR|HUT|HAG
0,2019-08-09,BVH|ART|HAI|FCN|DXG|JVC|SCR|NVB|DPM|AAA|SHS|HHS|BSR|PVD|PVS|VND|TNG|AMD|SSI|TCB|SHB|CTG|SJF|DIG|ACB|HSG|VNM|STB|ASM|IDI|HCM|HAR|HVN|HAG
0,2019-08-12,BVH|HAI|FCN|DXG|JVC|SCR|NVB|AAA|SHS|HHS|BSR|PVD|PVS|VND|HQC|TNG|AMD|SSI|TCB|SHB|CTG|SJF|DIG|ACB|HSG|VNM|STB|ASM|IDI|HCM|HVN|HAG
0,2019-08-13,BVH|HAI|FCN|DXG|HCD|SCR|NVB|POW|AAA|SHS|HHS|BSR|PVD|PVS|VND|HQC|TNG|AMD|SSI|TCB|SHB|SJF|DIG|ACB|HSG|VNM|STB|ASM|IDI|HCM|HVN|APG
0,2019-08-14,BVH|HAI|FCN|DXG|HCD|SCR|NVB|MSN|POW|AAA|HHS|GAS|BSR|PVD|PVS|LPB|VND|HQC|TNG|AMD|SSI|SHB|SJF|DIG|ACB|HSG|VNM|STB|VRE|HCM|HVN
0,2019-08-15,BVH|HAI|DXG|HCD|SCR|NVB|MSN|POW|AAA|PLX|GAS|BSR|PVD|PVS|LPB|VND|HQC|TNG|AMD|SSI|SHB|TNI|SJF|DIG|ACB|HSG|STB|HCM|HVN
0,2019-08-16,HAI|CII|DXG|NVB|POW|AAA|GAS|BSR|LPB|HQC|TNG|AMD|SHB|HSG|STB
0,2019-08-19,HAI|CII|DXG|NVB|POW|AAA|BSR|LPB|HQC|TNG|AMD|CTD|SHB|HSG|STB
0,2019-08-20,HAI|CII|DXG|NVB|POW|AAA|BSR|LPB|HQC|TNG|AMD|CTD|SHB|HSG|STB
0,2019-08-21,HAI|CII|DXG|NVB|POW|AAA|BSR|LPB|HQC|TNG|AMD|CTD|SHB|HSG|STB
0,2019-08-22,HAI|CII|DXG|NVB|POW|AAA|BSR|LPB|HQC|AMD|CTD|SHB|STB
0,2019-08-23,PDR|CII|NVB|AAA|BSR|ROS|HQC|SHB|TCM
0,2019-08-26,PDR|CII|NVB|AAA|BSR|FRT|SHB|TCM
0,2019-08-27,CII|GEX|NVB|AAA|BSR|FRT|HAG
0,2019-08-28,CII|GEX|NVB|AAA|BSR|FRT|HAG
0,2019-08-29,FLC|CII|HCD|NVB|AAA|HHS|BSR|FRT|HVN
0,2019-08-30,FLC|HCD|CEO|NVB|AAA|HHS|FRT|HVN
0,2019-09-03,FLC|HCD|CEO|NVB|AAA|SHS|HHS|FRT|SJF|TTF|TCH|NLG|HVN
0,2019-09-04,FLC|HCD|CEO|AAA|SHS|HHS|HPG|FRT|SJF|TTF|PNJ|NLG|HVN|APG
0,2019-09-05,FLC|HCD|CEO|AAA|PLX|SHS|HHS|VND|HPG|FRT|CTG|SJF|TTF|PNJ|NLG|HVN|APG
0,2019-09-06,FLC|HCD|CEO|AAA|PLX|SHS|HHS|VND|HPG|SSI|FRT|CTG|SJF|TTF|NKG|PNJ|NLG|HVN
0,2019-09-09,FLC|PHR|HCD|REE|MSN|AAA|SHS|HHS|VND|HPG|SSI|FRT|CTG|SJF|TTF|NKG|PNJ|VRE|NLG|HVN
0,2019-09-10,ART|FLC|HAI|PHR|HCD|VGI|REE|AAA|SHS|HHS|VND|HPG|SSI|FRT|CTG|SJF|TTF|TCM|NKG|PNJ|VRE|OIL|KSB|OGC|NLG|HVN
0,2019-09-11,BVH|ART|FLC|HAI|FCN|PHR|HCD|VGI|REE|POW|SHS|HHS|GAS|PVS|HPG|HDB|SSI|FRT|CTG|SJF|TTF|TCM|NKG|PNJ|VRE|OIL|KSB|OGC|NLG|HVN
0,2019-09-12,BVH|ART|FLC|HAI|FCN|PHR|HCD|VGI|POW|SHS|HHS|GAS|PVS|LPB|HDB|SSI|FRT|CTG|SJF|TTF|TCM|NKG|PNJ|TTB|VRE|OIL|IDI|KSB|OGC|NLG|HVN|HAG
0,2019-09-13,BVH|ART|FLC|HAI|FCN|PHR|DLG|VGI|POW|SHS|HHS|BSR|PVS|LPB|SSI|SJF|TTF|TCM|NKG|PNJ|TTB|VRE|ASM|OIL|IDI|OGC|NLG|HVN|HAG
0,2019-09-16,BVH|ART|FLC|FCN|PHR|VGI|POW|HHS|PVS|LPB|SJF|TTF|HSG|NKG|PNJ|TTB|OIL|OGC|HVN|HAG
0,2019-09-17,BVH|ART|FCN|PHR|VGI|POW|DPM|LPB|TNI|SJF|TTF|HSG|NKG|TTB|OIL|OGC|HVN|HAG
0,2019-09-18,BVH|ART|PHR|VGI|POW|DPM|TNI|SJF|TTF|HSG|NKG|TTB|HVN|HAG
0,2019-09-19,BVH|ART|DPM|HQC|ITA|TNI|TTF|HSG|NKG|TTB|HAG
0,2019-09-20,BVH|HQC|TNI|TTB|HAG
0,2019-09-23,HQC|TNI|TTB|HAG
0,2019-09-24,HQC|TNI|TTB|HAG
0,2019-09-25,HQC|TTB|HAG
0,2019-09-26,HQC|TTB|HAG
0,2019-09-27,HQC|TTB
0,2019-09-30,HQC|TTB
0,2019-10-01,VIC|HQC|TTB
0,2019-10-02,VIC|HQC|TTB
0,2019-10-03,VIC|DLG|AAA|HQC|HPG|TTB|VRE
0,2019-10-04,VIC|SCR|DLG|LMH|AAA|PLX|HQC|HPG|AMD|TTB|VRE|APG
